Year,Management,Site,plant,branch,galls
2024,RIN,RIN_2,2,2,0
2024,RIN,RIN_2,2,3,0
2024,RIN,RIN_2,2,4,0
2024,RIN,RIN_2,2,5,0
2024,RIN,RIN_2,3,1,0
2024,RIN,RIN_2,3,2,0
2024,RIN,RIN_2,3,3,0
2024,RIN,RIN_2,3,4,0
2024,RIN,RIN_2,3,5,0
2024,RIN,RIN_2,4,1,0
2024,RIN,RIN_2,4,2,0
2024,RIN,RIN_2,4,3,5
2024,RIN,RIN_2,4,4,4
2024,RIN,RIN_2,4,5,0
2024,RIN,RIN_2,5,1,0
2024,RIN,RIN_2,5,2,0
2024,RIN,RIN_2,5,3,0
2024,RIN,RIN_2,5,4,0
2024,RIN,RIN_2,5,5,0
2024,RIN,RIN_2,6,1,0
2024,RIN,RIN_2,6,2,0
2024,RIN,RIN_2,6,3,0
2024,RIN,RIN_2,6,4,0
2024,RIN,RIN_2,6,5,0
2024,RIN,RIN_2,7,1,0
2024,RIN,RIN_2,7,2,0
2024,RIN,RIN_2,7,3,0
2024,RIN,RIN_2,7,4,0
2024,RIN,RIN_2,7,5,0
2024,RIN,RIN_2,8,1,0
2024,RIN,RIN_2,8,2,0
2024,RIN,RIN_2,8,3,0
2024,RIN,RIN_2,8,4,0
2024,RIN,RIN_2,8,5,0
2024,RIN,RIN_2,9,1,1
2024,RIN,RIN_2,9,2,1
2024,RIN,RIN_2,9,3,0
2024,RIN,RIN_2,9,4,0
2024,RIN,RIN_2,9,5,0
2024,RIN,RIN_2,10,1,0
2024,RIN,RIN_2,10,2,0
2024,RIN,RIN_2,10,3,0
2024,RIN,RIN_2,10,4,0
2024,RIN,RIN_2,10,5,0
2024,RIN,RIN_3,1,1,1
2024,RIN,RIN_3,1,2,0
2024,RIN,RIN_3,1,3,0
2024,RIN,RIN_3,1,4,0
